id,type,name,latitude,longitude,landuse,natural,leaf_type,source
way-145119408,way,,35.6798918,139.7320347,forest,,,OpenStreetMap
way-145119411,way,,35.6796638,139.727377,forest,,,OpenStreetMap
way-145119412,way,,35.6767277,139.7310657,forest,,mixed,OpenStreetMap
way-145246933,way,,35.6816491,139.7361058,forest,,,OpenStreetMap
way-145408894,way,,35.6749305,139.7581042,forest,,,OpenStreetMap
way-145408896,way,,35.674914,139.7588507,forest,,,OpenStreetMap
way-145408897,way,,35.6730248,139.7549384,forest,,,OpenStreetMap
way-145408898,way,,35.6742818,139.7576128,forest,,,OpenStreetMap
way-145408899,way,,35.6751001,139.7570058,forest,,,OpenStreetMap
way-145408900,way,,35.6752369,139.7581609,forest,,,OpenStreetMap
way-145408901,way,,35.6757303,139.7559569,forest,,,OpenStreetMap
way-145408902,way,,35.6724312,139.7552467,forest,,,OpenStreetMap
way-145408904,way,,35.6724438,139.7545199,forest,,,OpenStreetMap
way-145408906,way,,35.6741309,139.7581785,forest,,,OpenStreetMap
way-145408907,way,,35.6727254,139.754143,forest,,,OpenStreetMap
way-145495470,way,,35.6784217,139.7396352,forest,,,OpenStreetMap
way-145495471,way,,35.6783638,139.7386978,forest,,,OpenStreetMap
way-145495472,way,,35.6775468,139.7387156,forest,,,OpenStreetMap
way-145495601,way,,35.6723136,139.7433416,forest,,,OpenStreetMap
way-145497897,way,,35.6752752,139.7403062,forest,,,OpenStreetMap
way-145497898,way,,35.6739767,139.7400373,forest,,,OpenStreetMap
way-145497899,way,,35.6751262,139.7407265,forest,,,OpenStreetMap
way-145497900,way,,35.6749387,139.739189,forest,,broadleaved,OpenStreetMap
way-145497901,way,,35.6749239,139.7400966,forest,,,OpenStreetMap
way-145501833,way,,35.6857246,139.7569525,forest,,mixed,OpenStreetMap
way-145501836,way,,35.6878647,139.7593812,forest,,,OpenStreetMap
way-145501837,way,,35.6865251,139.7555289,forest,,,OpenStreetMap
way-145501838,way,,35.6809972,139.7483182,forest,wood,,OpenStreetMap
way-145501839,way,,35.6891657,139.7554207,forest,,,OpenStreetMap
way-146182084,way,,35.6723756,139.732789,forest,,,OpenStreetMap
way-146343823,way,,35.6731626,139.7291531,forest,,mixed,OpenStreetMap
way-146605077,way,,35.6705739,139.7235129,,wood,,OpenStreetMap
way-146605118,way,,35.670539,139.7234281,,wood,,OpenStreetMap
way-146701746,way,,35.6636666,139.7248837,forest,,mixed,OpenStreetMap
way-148790547,way,,35.6614275,139.74295,forest,,mixed,OpenStreetMap
way-152327975,way,,35.631539,139.9139214,forest,,,OpenStreetMap
way-152327985,way,,35.6342963,139.9104499,forest,,,OpenStreetMap
way-154999917,way,,35.6944514,139.7044591,forest,,,OpenStreetMap
way-154999920,way,,35.69471,139.7048506,forest,,,OpenStreetMap
way-154999924,way,,35.6947841,139.7052085,forest,,,OpenStreetMap
way-154999930,way,,35.6941852,139.704433,forest,,,OpenStreetMap
way-154999931,way,,35.69404,139.7042875,forest,,,OpenStreetMap
way-154999933,way,,35.6947131,139.7049776,forest,,,OpenStreetMap
way-154999934,way,,35.6947117,139.7047735,forest,,,OpenStreetMap
